MESH2_ID,MEAN
463076,0.249047
463077,0.225992
463100,0.394972
463110,0.441969
463120,0.456184
463160,0.516321
463170,0.423496
463171,0.238496
472935,0.375922
472945,0.393141
472946,0.28319
472956,0.576178
472957,0.489517
472966,0.559165
472967,0.543656
473000,0.722782
473001,0.403873
473002,0.244749
473003,0.100938
473004,0.209778
473006,0.0412499
473007,0.0574802
473010,0.614027
473011,0.450726
473012,0.127263
473013,0.308698
473014,0.385068
473015,0.16552
473016,0.322378
473017,0.0656295
473022,0.159701
473023,0.362599
473024,0.371799
473025,0.55469
473026,0.46629
473027,0.106388
473032,0.176935
473033,0.166259
473034,0.353617
473035,0.592658
473036,0.165342
473037,0.0670841
473041,0.496337
473042,0.368265
473043,0.395609
473044,0.350005
473045,0.20808
473046,0.23289
473047,0.0724937
473051,0.515539
473052,0.278603
473053,0.322631
473054,0.329114
473055,0.293577
473056,0.321896
473057,0.258686
473061,0.49314
473062,0.335071
473063,0.236718
473064,0.281645
473065,0.267495
473066,0.338655
473067,0.430947
473071,0.362873
473072,0.481301
473073,0.33002
473074,0.280062
473075,0.160827
473076,0.413074
473077,0.222685
473100,0.262476
473101,0.349069
473102,0.528218
473110,0.0661858
473111,0.289214
473112,0.350132
473113,0.441618
473120,0.102308
473121,0.353625
473122,0.288291
473123,0.475949
473130,0.15647
473131,0.606229
473132,0.362708
473133,0.401007
473140,0.0387175
473141,0.470203
473142,0.501679
473143,0.536522
473150,0.0465605
473151,0.320758
473152,0.401127
473153,0.464906
473160,0.123196
473161,0.442912
473162,0.262787
473163,0.214146
473170,0.204318
473171,0.424577
473172,0.190852
473173,0.155647
482865,0.463281
482866,0.0584265
482867,0.215843
482874,0.43032
482875,0.378859
482876,0.175098
482877,0.158281
482927,0.421785
482937,0.444087
482947,0.378127
482965,0.368881
482966,0.400697
482975,0.377643
482976,0.383581
482977,0.427957
483001,0.156101
483002,0.183259
483003,0.499541
483004,0.223754
483005,0.274079
483006,0.191549
483007,0.221744
483010,0.363773
